name,price,image
Сотовый телефон Xiaomi Redmi Note 13 8/256GB голубой,16700 сом,https://www.kivano.kg/images/product/132096/1705999822_48551100.jpg
Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB зеленый,"89350 сом
-1%

88450 сом",https://www.kivano.kg/images/product/118784/1679158987_31384800.jpg
Сотовый телефон Samsung Galaxy Z Flip 5 8/512GB кремовый,66090 сом,https://www.kivano.kg/images/product/128256/1697901834_63832900.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 6/128GB черный,15980 сом,https://www.kivano.kg/images/product/132097/1706000565_39704500.jpg
Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB кремовый,"89350 сом
-1%

88450 сом",https://www.kivano.kg/images/product/118785/1679159066_25158800.jpg
Сотовый телефон Samsung Galaxy Z Flip 5 8/512GB лавандовый,66090 сом,https://www.kivano.kg/images/product/128257/1697901941_07758200.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 6/128GB голубой,15980 сом,https://www.kivano.kg/images/product/132098/1706000570_08880700.jpg
Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB графит,"89350 сом
-1%

88450 сом",https://www.kivano.kg/images/product/118786/1679159154_75202700.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 6/128GB зеленый,15980 сом,https://www.kivano.kg/images/product/132099/1706000572_51000900.jpg
Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB голубой,"89350 сом
-1%

88450 сом",https://www.kivano.kg/images/product/118787/1679159225_02657600.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 8/128GB черный,16880 сом,https://www.kivano.kg/images/product/132100/1706000895_70350700.jpg
Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB лайм,"89350 сом
-1%

88450 сом",https://www.kivano.kg/images/product/118788/1679159303_34858200.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 8/128GB голубой,16880 сом,https://www.kivano.kg/images/product/132101/1706000899_76601800.jpg
Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB красный,"89350 сом
-1%

88450 сом",https://www.kivano.kg/images/product/118789/1679159390_27278700.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 8/128GB зеленый,16880 сом,https://www.kivano.kg/images/product/132102/1706000903_30183900.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 8/256GB черный,17600 сом,https://www.kivano.kg/images/product/132103/1706001200_47075400.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 8/256GB голубой,17600 сом,https://www.kivano.kg/images/product/132104/1706001203_22579000.jpg
Сотовый телефон Xiaomi Redmi Note 13 NFC 8/256GB зеленый,17600 сом,https://www.kivano.kg/images/product/132105/1706001206_21431300.jpg
Сотовый телефон Xiaomi Redmi Note 13 Pro 8/256GB черный,23080 сом,https://www.kivano.kg/images/product/132106/1706001917_61615100.jpg
Сотовый телефон Apple iPhone 13 128GB зеленый,"58730 сом
-3%

56930 сом",https://www.kivano.kg/images/product/105482/1650357323_84906500.png
