№,title,sales,price,image
1,"DIGMA
Ноутбук Magnus M Ryzen 5 5600U 16Gb SSD512Gb W11P",−43%,52 691 ₽,https://basket-11.wbbasket.ru/vol1628/part162896/162896740/images/c516x688/1.webp
2,"TopTrend
Ноутбук FRBBY V16 Pro",−48%,25 925 ₽,https://basket-12.wbbasket.ru/vol1886/part188649/188649197/images/c516x688/1.webp
3,"lenovo
Игровой ноутбук Legion Pro 5 16IRX8 [82WK003VRK]",−26%,139 025 ₽,https://basket-13.wbbasket.ru/vol1960/part196045/196045518/images/c516x688/1.webp
4,"lenovo
Ноутбук ThinkPad T480 i5-8250U 14""",−60%,32 663 ₽,https://basket-10.wbbasket.ru/vol1586/part158602/158602316/images/c516x688/1.webp
5,"Smartx
Ноутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB",−46%,21 705 ₽,https://basket-12.wbbasket.ru/vol1692/part169234/169234407/images/c516x688/1.webp
6,"Infinix
Inbook Y1 NEO XL30",−25%,27 668 ₽,https://basket-12.wbbasket.ru/vol1776/part177640/177640375/images/c516x688/1.webp
7,"Compolis
Ноутбук 15.6"" IPS 4-Ядра 16GB SSD 512GB",−58%,31 900 ₽,https://basket-12.wbbasket.ru/vol1695/part169592/169592183/images/c516x688/1.webp
8,"Asus
Ноутбук Vivobook Go 14 E1404FA-EB045 [90NB0ZS2-M00670]",−24%,38 573 ₽,https://basket-13.wbbasket.ru/vol1965/part196503/196503330/images/c516x688/1.webp
9,"CHUWI
Ноутбук Corebook X 14'',Intel i5-1235U, Win11 HOME",−15%,42 423 ₽,https://basket-10.wbbasket.ru/vol1510/part151049/151049767/images/c516x688/1.webp
10,"MAIBENBEN
Ноутбук P415 i3-1115G4 3000x2000 8ГБ+512ГБ Сенсорный экран",−15%,33 999 ₽,https://basket-12.wbbasket.ru/vol1827/part182780/182780413/images/c516x688/1.webp
11,"Acer
Игровой ноутбук Nitro 5 AN515-58-56W4 [NH.QFJER.002]",−32%,78 465 ₽,https://basket-12.wbbasket.ru/vol1723/part172331/172331047/images/c516x688/1.webp
12,"DeltaTech
Ноутбук 15.6"" IPS 4-Ядра RAM DDR5 12GB SSD 512GB (M.2)",−58%,37 064 ₽,https://basket-10.wbbasket.ru/vol1594/part159496/159496818/images/c516x688/1.webp
13,"Infinix
Inbook Y1 PLUS 10TH XL28",−29%,35 692 ₽,https://basket-12.wbbasket.ru/vol1776/part177648/177648109/images/c516x688/1.webp
14,"DeltaTech
Ноутбук игровой i7 1260P MX 550 16"" 20GB DDR4 SSD 512GB",−44%,72 924 ₽,https://basket-12.wbbasket.ru/vol1762/part176261/176261398/images/c516x688/1.webp
15,"DeltaTech
Ноутбук сенсорный 15.6"" IPS 4-Ядра RAM 12GB DDR5 и SSD 512GB",−49%,52 014 ₽,https://basket-11.wbbasket.ru/vol1639/part163986/163986624/images/c516x688/1.webp
16,"Asus
Ноутбук ROG i7 16Gb 512Gb 3050Ti DOS [90NR0941-M002E0]",−27%,98 611 ₽,
17,"Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GB",−37%,18 492 ₽,
18,"CHUWI
Ноутбук Corebook X 14'',Intel i5-1235U, Win11 HOME",−15%,40 026 ₽,
19,"lenovo
Игровой ноутбук Legion Pro 7 16IRX8 [82WR000VRK]",−24%,205 784 ₽,
20,"Acer
Ноутбук EX215-22-R5D4 15.6 Ryzen 3 8Gb (NX.EG9ER.02M)",−13%,40 542 ₽,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
